config_num,learning_rate,dropout,hidden_size,weight_decay,val_kt_mean,val_kt_std,time_seconds
1,0.001,0.2,10,0.0,0.822167,0.012904,195.8
2,0.001,0.2,10,0.01,0.814785,0.013228,183.9
3,0.001,0.2,20,0.0,0.871439,0.010686,231.4
4,0.001,0.2,20,0.01,0.843020,0.010726,225.4
5,0.001,0.2,40,0.0,0.884519,0.011301,325.3
6,0.001,0.2,40,0.01,0.856806,0.009757,326.1
7,0.001,0.4,10,0.0,0.788783,0.016182,178.8
8,0.001,0.4,10,0.01,0.789218,0.015520,166.1
9,0.001,0.4,20,0.0,0.846774,0.012135,211.2
10,0.001,0.4,20,0.01,0.813421,0.010734,199.3
11,0.001,0.4,40,0.0,0.873167,0.010970,291.6
12,0.001,0.4,40,0.01,0.851819,0.009630,288.9
13,0.001,0.6,10,0.0,0.725160,0.020418,178.9
14,0.001,0.6,10,0.01,0.688327,0.022646,183.8
15,0.001,0.6,20,0.0,0.821610,0.012386,231.7
16,0.001,0.6,20,0.01,0.791085,0.013977,250.4
17,0.001,0.6,40,0.0,0.855252,0.010855,481.6
18,0.001,0.6,40,0.01,0.825438,0.012569,577.1
19,0.0005,0.2,10,0.0,0.775566,0.017103,151.2
20,0.0005,0.2,10,0.01,0.749369,0.016806,158.6
21,0.0005,0.2,20,0.0,0.836085,0.012884,188.9
22,0.0005,0.2,20,0.01,0.826631,0.012037,189.9
23,0.0005,0.2,40,0.0,0.870154,0.011559,280.6
24,0.0005,0.2,40,0.01,0.848711,0.010704,277.5
25,0.0005,0.4,10,0.0,0.700131,0.017150,154.4
26,0.0005,0.4,10,0.01,0.703133,0.019494,151.7
27,0.0005,0.4,20,0.0,0.793812,0.013025,191.5
28,0.0005,0.4,20,0.01,0.765472,0.013856,192.3
29,0.0005,0.4,40,0.0,0.853293,0.010144,281.7
30,0.0005,0.4,40,0.01,0.825948,0.013313,278.4
31,0.0005,0.6,10,0.0,0.410105,0.040502,154.8
32,0.0005,0.6,10,0.01,0.530622,0.033612,151.1
33,0.0005,0.6,20,0.0,0.775696,0.014216,193.0
34,0.0005,0.6,20,0.01,0.762813,0.013934,196.4
35,0.0005,0.6,40,0.0,0.839376,0.011134,277.8
36,0.0005,0.6,40,0.01,0.825530,0.011579,282.4
37,0.0001,0.2,10,0.0,0.101778,0.048698,151.8
38,0.0001,0.2,10,0.01,0.006281,0.050772,151.4
39,0.0001,0.2,20,0.0,0.248221,0.051753,193.6
40,0.0001,0.2,20,0.01,0.033207,0.051683,191.0
41,0.0001,0.2,40,0.0,0.545902,0.034343,279.2
42,0.0001,0.2,40,0.01,0.228603,0.049039,280.8
43,0.0001,0.4,10,0.0,0.068971,0.041895,153.6
44,0.0001,0.4,10,0.01,0.024591,0.047256,151.4
45,0.0001,0.4,20,0.0,0.159441,0.053592,195.3
46,0.0001,0.4,20,0.01,0.033593,0.045517,192.6
47,0.0001,0.4,40,0.0,0.514385,0.035169,284.2
48,0.0001,0.4,40,0.01,0.102830,0.051222,287.7
49,0.0001,0.6,10,0.0,0.013588,0.040618,151.1
50,0.0001,0.6,10,0.01,-0.000057,0.053975,156.4
51,0.0001,0.6,20,0.0,0.102927,0.046706,196.9
52,0.0001,0.6,20,0.01,-0.001966,0.041551,197.9
53,0.0001,0.6,40,0.0,0.366336,0.039795,279.7
54,0.0001,0.6,40,0.01,0.039714,0.043832,286.4
