GNN Betweenness Centrality — Experiment Results
==================================================

Settings:
  Nodes         : 200
  Total graphs  : 2000
  Train graphs  : 1600
  Test graphs   : 400
  Epochs        : 100
  Learning rate : 0.0001
  Dropout       : 0.2
  Weight decay  : 0.01

Final Results:
  Training Loss : 0.194192
  Test Loss     : 0.194092
  Rel Diff      : 0.000513
  Kendall tau   : 0.841194 ± 0.011649

Per-epoch results:
 Epoch   Train Loss    Test Loss   Rel Diff    KT Mean     KT Std
     1     0.822602     0.714124   0.131872   0.365318   0.040698
     2     0.671054     0.629958   0.061241   0.450181   0.040758
     3     0.606357     0.579462   0.044355   0.500084   0.034188
     4     0.564676     0.548282   0.029032   0.530909   0.032915
     5     0.532902     0.515210   0.033200   0.562333   0.032437
     6     0.505462     0.491502   0.027618   0.584138   0.029259
     7     0.482212     0.468555   0.028322   0.606172   0.029883
     8     0.458776     0.447227   0.025174   0.625679   0.027866
     9     0.435649     0.424361   0.025910   0.647874   0.027746
    10     0.412925     0.400036   0.031215   0.670407   0.024771
    11     0.388339     0.378873   0.024375   0.690271   0.023781
    12     0.369157     0.357897   0.030500   0.708516   0.023117
    13     0.350962     0.342231   0.024877   0.723398   0.022177
    14     0.335281     0.328052   0.021561   0.734172   0.019501
    15     0.322429     0.314484   0.024642   0.745741   0.020131
    16     0.310451     0.306916   0.011385   0.752523   0.019028
    17     0.303070     0.298709   0.014389   0.760505   0.017834
    18     0.295938     0.292931   0.010159   0.763985   0.017861
    19     0.290214     0.287313   0.009995   0.768771   0.017338
    20     0.284421     0.281312   0.010931   0.774593   0.016910
    21     0.279034     0.276829   0.007904   0.778042   0.016133
    22     0.274899     0.274196   0.002559   0.780364   0.016649
    23     0.272172     0.271794   0.001391   0.783059   0.016016
    24     0.268063     0.265075   0.011145   0.787664   0.015787
    25     0.263985     0.262756   0.004655   0.789872   0.015730
    26     0.260458     0.260149   0.001188   0.790711   0.015808
    27     0.257848     0.255579   0.008797   0.795143   0.014922
    28     0.254552     0.251975   0.010125   0.797287   0.014405
    29     0.249261     0.247055   0.008851   0.801157   0.014179
    30     0.245188     0.242236   0.012037   0.805432   0.014514
    31     0.239487     0.237202   0.009538   0.808916   0.014178
    32     0.234113     0.231762   0.010040   0.813561   0.013919
    33     0.230351     0.228341   0.008727   0.816530   0.013447
    34     0.227926     0.227438   0.002142   0.817291   0.013289
    35     0.226043     0.224268   0.007852   0.819824   0.013606
    36     0.224237     0.224278  -0.000184   0.819804   0.013688
    37     0.222398     0.220435   0.008827   0.822389   0.013287
    38     0.220786     0.218662   0.009623   0.823832   0.013239
    39     0.220611     0.220183   0.001939   0.822392   0.012758
    40     0.218766     0.218551   0.000984   0.823315   0.013565
    41     0.218751     0.218602   0.000684   0.824356   0.012964
    42     0.217168     0.216634   0.002457   0.824936   0.013577
    43     0.215828     0.216536  -0.003280   0.825206   0.013382
    44     0.215339     0.214705   0.002944   0.826351   0.012559
    45     0.213682     0.213012   0.003137   0.828121   0.013164
    46     0.213045     0.212589   0.002141   0.827788   0.012931
    47     0.211974     0.211903   0.000336   0.828427   0.012915
    48     0.211866     0.212151  -0.001345   0.828904   0.012672
    49     0.211670     0.211928  -0.001220   0.828210   0.012969
    50     0.211180     0.211003   0.000840   0.828773   0.012506
    51     0.210448     0.210680  -0.001104   0.829315   0.013002
    52     0.210285     0.211064  -0.003706   0.828485   0.012535
    53     0.209794     0.210332  -0.002563   0.829458   0.012805
    54     0.208835     0.209286  -0.002160   0.830043   0.012598
    55     0.208725     0.209952  -0.005879   0.829682   0.012718
    56     0.209007     0.209735  -0.003484   0.829530   0.012898
    57     0.208526     0.207608   0.004400   0.830987   0.012452
    58     0.208256     0.208247   0.000043   0.830383   0.012564
    59     0.207709     0.208029  -0.001540   0.830612   0.012502
    60     0.207650     0.207404   0.001183   0.831462   0.013152
    61     0.207437     0.207197   0.001156   0.830932   0.011910
    62     0.207196     0.206298   0.004335   0.831616   0.012784
    63     0.206153     0.206857  -0.003419   0.831427   0.012534
    64     0.205740     0.205808  -0.000327   0.832050   0.011987
    65     0.204874     0.206861  -0.009701   0.831487   0.013023
    66     0.204664     0.204944  -0.001368   0.833047   0.012262
    67     0.204875     0.206220  -0.006565   0.832038   0.012959
    68     0.204369     0.204451  -0.000399   0.833127   0.013157
    69     0.204020     0.203312   0.003469   0.834134   0.012777
    70     0.203470     0.204371  -0.004430   0.833498   0.012417
    71     0.203522     0.204600  -0.005298   0.833413   0.012525
    72     0.203131     0.203276  -0.000714   0.834244   0.012800
    73     0.202907     0.204434  -0.007521   0.833740   0.012352
    74     0.202516     0.203598  -0.005343   0.834301   0.012522
    75     0.202546     0.203004  -0.002261   0.834586   0.012606
    76     0.202785     0.203687  -0.004448   0.833635   0.012654
    77     0.202269     0.202815  -0.002698   0.834394   0.012138
    78     0.201900     0.203439  -0.007621   0.834657   0.012880
    79     0.201358     0.201230   0.000634   0.835262   0.012556
    80     0.201969     0.201542   0.002115   0.835189   0.012531
    81     0.200939     0.200508   0.002144   0.836457   0.012558
    82     0.200879     0.201233  -0.001759   0.836296   0.012313
    83     0.199201     0.199595  -0.001980   0.837042   0.012045
    84     0.199064     0.199528  -0.002333   0.837361   0.012251
    85     0.197418     0.197364   0.000273   0.839053   0.011941
    86     0.197208     0.197558  -0.001775   0.838246   0.012004
    87     0.197147     0.196801   0.001757   0.839240   0.012361
    88     0.199333     0.195925   0.017095   0.839712   0.012273
    89     0.197518     0.196941   0.002920   0.839286   0.011781
    90     0.196147     0.195697   0.002294   0.840212   0.011463
    91     0.195526     0.196039  -0.002623   0.839813   0.011790
    92     0.197607     0.202280  -0.023646   0.835329   0.012334
    93     0.196194     0.195908   0.001461   0.839713   0.012065
    94     0.194684     0.194960  -0.001420   0.840722   0.012121
    95     0.194460     0.195978  -0.007811   0.840582   0.011931
    96     0.194605     0.195741  -0.005838   0.840337   0.011870
    97     0.194757     0.196804  -0.010512   0.839497   0.012289
    98     0.194508     0.195503  -0.005115   0.840322   0.011847
    99     0.194066     0.196008  -0.010009   0.838845   0.012039
   100     0.194192     0.194092   0.000513   0.841194   0.011649
