GNN Closeness Centrality — Experiment Results
==================================================

Graph type    : Undirected Erdos-Renyi
Nodes         : 200
Total graphs  : 5000
Train / Test  : 4000 / 1000
Epochs        : 50
Learning rate : 0.001
Dropout       : 0.2
Weight decay  : 0.0

Final Results:
  Training Loss : 0.154027
  Test Loss     : 0.155844
  Rel Diff      : -0.011797
  Kendall tau   : 0.894139 ± 0.010984

 Epoch        Train         Test    RelDiff    KT Mean     KT Std
     1     0.471881     0.201118   0.573795   0.854954   0.011231
     2     0.184324     0.173154   0.060600   0.879273   0.011162
     3     0.168558     0.165291   0.019381   0.885482   0.010830
     4     0.164008     0.163787   0.001345   0.887597   0.010533
     5     0.161631     0.161949  -0.001971   0.889196   0.010851
     6     0.160505     0.159709   0.004958   0.890695   0.010891
     7     0.159501     0.159787  -0.001794   0.891009   0.011056
     8     0.158924     0.158681   0.001528   0.891491   0.010843
     9     0.158102     0.157617   0.003070   0.892517   0.011066
    10     0.157765     0.157077   0.004362   0.893178   0.010927
    11     0.157556     0.156729   0.005252   0.893237   0.010988
    12     0.157182     0.157487  -0.001937   0.893213   0.011063
    13     0.156967     0.156550   0.002662   0.893055   0.010925
    14     0.156639     0.157084  -0.002842   0.893315   0.011058
    15     0.156567     0.157099  -0.003393   0.893194   0.010922
    16     0.155974     0.156977  -0.006432   0.893232   0.010970
    17     0.155895     0.155642   0.001626   0.893656   0.010874
    18     0.155933     0.156503  -0.003652   0.893696   0.010958
    19     0.155735     0.155775  -0.000260   0.894350   0.010977
    20     0.155660     0.156314  -0.004203   0.893692   0.010929
    21     0.155632     0.155660  -0.000180   0.894137   0.010953
    22     0.155570     0.155943  -0.002396   0.893731   0.011155
    23     0.155185     0.155670  -0.003127   0.894121   0.010741
    24     0.155188     0.155853  -0.004285   0.893992   0.010844
    25     0.155439     0.156535  -0.007051   0.893984   0.011161
    26     0.155340     0.155329   0.000073   0.893694   0.011005
    27     0.154977     0.155339  -0.002339   0.894071   0.011013
    28     0.154731     0.156053  -0.008543   0.893966   0.010999
    29     0.154990     0.156343  -0.008728   0.893583   0.011179
    30     0.155074     0.156428  -0.008729   0.893847   0.010921
    31     0.154707     0.155336  -0.004064   0.893864   0.011164
    32     0.154875     0.156335  -0.009424   0.893935   0.010830
    33     0.154711     0.155732  -0.006597   0.894170   0.010942
    34     0.154586     0.155373  -0.005089   0.894302   0.010986
    35     0.154550     0.156121  -0.010166   0.894011   0.010956
    36     0.154523     0.155455  -0.006031   0.894209   0.010892
    37     0.154443     0.156720  -0.014744   0.893672   0.011020
    38     0.154524     0.155714  -0.007702   0.893731   0.010881
    39     0.154333     0.155958  -0.010524   0.894031   0.010797
    40     0.154386     0.155317  -0.006026   0.893957   0.011008
    41     0.154363     0.156041  -0.010871   0.893881   0.011050
    42     0.154300     0.155107  -0.005230   0.894296   0.010750
    43     0.154173     0.156285  -0.013698   0.893781   0.010899
    44     0.154263     0.155860  -0.010350   0.893893   0.010972
    45     0.154287     0.156058  -0.011478   0.894124   0.010978
    46     0.154099     0.155378  -0.008305   0.894128   0.010915
    47     0.154172     0.155702  -0.009924   0.894178   0.011030
    48     0.154247     0.155603  -0.008792   0.894017   0.011108
    49     0.154211     0.155813  -0.010385   0.893760   0.011144
    50     0.154027     0.155844  -0.011797   0.894139   0.010984
