Graph Type,Method,Centrality,Mean KT,Std KT
ER,Degree Centrality,Betweenness,0.885485,0.009282
ER,GNN (ER-trained),Betweenness,0.860223,0.009892
ER,GNN (Mixed-trained),Betweenness,0.878614,0.009099
ER,Degree Centrality,Closeness,0.922772,0.009738
ER,GNN (ER-trained),Closeness,0.893972,0.009929
BA,Degree Centrality,Betweenness,0.865340,0.010462
BA,GNN (ER-trained),Betweenness,0.810419,0.012468
BA,GNN (Mixed-trained),Betweenness,0.920073,0.005900
BA,Degree Centrality,Closeness,0.881842,0.011618
BA,GNN (ER-trained),Closeness,0.838172,0.015719
GRP,Degree Centrality,Betweenness,0.863566,0.017245
GRP,GNN (ER-trained),Betweenness,0.554302,0.039890
GRP,GNN (Mixed-trained),Betweenness,0.861671,0.010862
GRP,Degree Centrality,Closeness,0.836681,0.016002
GRP,GNN (ER-trained),Closeness,0.364665,0.057351
